"species","sppgrp"
"spiny fiddlewood","Mixed hardwood"
"threespike fiddlewood","Mixed hardwood"
"key lime","Mixed hardwood"
"sour orange","Mixed hardwood"
"lemon","Mixed hardwood"
"grapefruit","Mixed hardwood"
"sweet orange","Mixed hardwood"
"Citrus maxima","Mixed hardwood"
"Citrus medica","Mixed hardwood"
"Citrus reticulata","Mixed hardwood"
"haggarbush","Mixed hardwood"
"teta prieta","Mixed hardwood"
"jackass breadnut","Mixed hardwood"
"Clidemia cymosa","Mixed hardwood"
"soapbush","Mixed hardwood"
"Philippine pigeonwings","Mixed hardwood"
"cupeillo","Mixed hardwood"
"Grundlach's attorney","Mixed hardwood"
"cupey de monte","Mixed hardwood"
"Scotch attorney","Mixed hardwood"
"deepwoods fern","Mixed hardwood"
"common screwpine","Mixed hardwood"
"scratchthroat","Mixed hardwood"
"parkia","Mixed hardwood"
"Parkia timoriana","Mixed hardwood"
"Jerusalem thorn","Mixed hardwood"
"cuachilote","Mixed hardwood"
"candle tree","Mixed hardwood"
"Peltophorum pterocarpum","Mixed hardwood"
"butter tree","Mixed hardwood"
"jiqi","Mixed hardwood"
"canela","Mixed hardwood"
"aquacatillo","Mixed hardwood"
"bastard stopper","Mixed hardwood"
"aquilon prieto","Mixed hardwood"
"candlewood","Mixed hardwood"
"Tahitian gooseberry tree","Mixed hardwood"
"gamo de costa","Mixed hardwood"
"Phyllanthus orbicularis","Mixed hardwood"
"Florida bitterbush","Mixed hardwood"
"bitterwood","Mixed hardwood"
"fustic","Mixed hardwood"
"aceitillo","Mixed hardwood"
"Royen's tree cactus","Mixed hardwood"
"allspice","Mixed hardwood"
"bayrumtree","Mixed hardwood"
"Caribbean pine","Pine"
"Chinese red pine","Pine"
"Merkus pine","Pine"
"ocote chino","Pine"
"Mexican weeping pine","Pine"
"higuillo de hoja menuda","Mixed hardwood"
"higuillo de limon","Mixed hardwood"
"moth pepper","Mixed hardwood"
"Pacific silver fir","True fir/hemlock"
"balsam fir","True fir/hemlock"
"Santa Lucia or bristlecone fir","True fir/hemlock"
"white fir","True fir/hemlock"
"Fraser fir","True fir/hemlock"
"grand fir","True fir/hemlock"
"corkbark fir","True fir/hemlock"
"subalpine fir","True fir/hemlock"
"California red fir","True fir/hemlock"
"Shasta red fir","True fir/hemlock"
"noble fir","True fir/hemlock"
"white-cedar spp.","Cedar/larch"
"Port-Orford-cedar","Cedar/larch"
"Alaska yellow-cedar","Cedar/larch"
"Atlantic white-cedar","Cedar/larch"
"cypress","Cedar/larch"
"Arizona cypress","Cedar/larch"
"Baker or Modoc cypress","Cedar/larch"
"Tecate cypress","Cedar/larch"
"Monterey cypress","Cedar/larch"
"Sargent's cypress","Cedar/larch"
"MacNab's cypress","Cedar/larch"
"redcedar/juniper spp.","Cedar/larch"
"Pinchot juniper","Juniper/oak/mesquite"
"redberry juniper","Juniper/oak/mesquite"
"Drooping juniper","Juniper/oak/mesquite"
"Ashe juniper","Juniper/oak/mesquite"
"California juniper","Juniper/oak/mesquite"
"alligator juniper","Juniper/oak/mesquite"
"western juniper","Cedar/larch"
"Utah juniper","Juniper/oak/mesquite"
"Rocky Mountain juniper","Juniper/oak/mesquite"
"southern redcedar","Cedar/larch"
"eastern redcedar","Cedar/larch"
"oneseed juniper","Juniper/oak/mesquite"
"larch spp.","Cedar/larch"
"tamarack (native)","Cedar/larch"
"subalpine larch","Cedar/larch"
"western larch","Cedar/larch"
"incense-cedar","Cedar/larch"
"spruce spp.","Spruce"
