"species","sppgrp"
"Diospyros ferrea","Mixed hardwood"
"elama","Mixed hardwood"
"persimmon","Mixed hardwood"
"auauli","Mixed hardwood"
"lama","Mixed hardwood"
"otot","Mixed hardwood"
"rru","Mixed hardwood"
"Dracaena multiflora","Mixed hardwood"
"kevert","Mixed hardwood"
"Drypetes","Mixed hardwood"
"Dubautia","Mixed hardwood"
"Mauna Kea dubautia","Mixed hardwood"
"forest dubautia","Mixed hardwood"
"Kauai dubautia","Mixed hardwood"
"plantainleaf dubautia","Mixed hardwood"
"netvein dubautia","Mixed hardwood"
"dubautia","Mixed hardwood"
"Durian","Mixed hardwood"
"maota mea","Mixed hardwood"
"maota","Mixed hardwood"
"mamala","Mixed hardwood"
"Chihuahuan pine","Pine"
"Callery pear","Mixed hardwood"
"common pear","Mixed hardwood"
"Texas live oak","Juniper/oak/mesquite"
"prairie sumac","Mixed hardwood"
"mescal bean","Mixed hardwood"
"Japanese maple","Mixed hardwood"
"holly","Mixed hardwood"
"yaupon","Mixed hardwood"
"goldenrain tree","Mixed hardwood"
"Chinese elm","Mixed hardwood"
"farkleberry","Mixed hardwood"
"rusty blackhaw","Mixed hardwood"
"Chinese privet","Mixed hardwood"
"Japanese privet","Juniper/oak/mesquite"
"glossy privet","Juniper/oak/mesquite"
"Hercules' club","Mixed hardwood"
"paper mulberry","Mixed hardwood"
"cherry laurel","Mixed hardwood"
"roughleaf dogwood","Mixed hardwood"
"Chinese pistache","Mixed hardwood"
"bastard oak","Juniper/oak/mesquite"
"Mexican sycamore","Mixed hardwood"
"hardy orange","Mixed hardwood"
"chimei","Mixed hardwood"
"Kosrae elaeocarpus","Mixed hardwood"
"poison tree","Mixed hardwood"
"maras","Mixed hardwood"
"peach palm","Mixed hardwood"
"strand tree","Mixed hardwood"
"ice cream bean","Mixed hardwood"
"kehn","Mixed hardwood"
"tuhke duwehte kamal","Mixed hardwood"
"weeping bottlebrush","Mixed hardwood"
"Campnosperma brevipetiolata","Mixed hardwood"
"jaboticaba","Mixed hardwood"
"pulasan","Mixed hardwood"
"palm tree","Mixed hardwood"
"robusta coffee","Mixed hardwood"
"croton","Mixed hardwood"
"kamal","Mixed hardwood"
"eeme","Mixed hardwood"
"Dalbergia retusa","Mixed hardwood"
"cocobolo","Mixed hardwood"
"song of India","Mixed hardwood"
