"StandID","Year","Aboveground_Total_Live","Aboveground_Merch_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","Total_Removed_Carbon","Carbon_Released_From_Fire","Stand_CN","time","FOR","hard_pulp","soft_pulp","hard_saw","soft_saw","tot_tC_ac_100"
"OAK_BAU",2024,33.6127395629883,19.4978713989258,7.56858110427856,2.82651519775391,2.39469766616821,6.54743337631226,3.34237480163574,0.939999997615814,57.2323417663574,1.54021918773651,0,"189296012020004",10,"OAK",0.0865622880121637,0.0027832835206937,0.274111970413143,0.0203804173692456,0.383837959315245
"OAK_BAU",2029,34.1495780944824,19.8614368438721,8.07175350189209,3.7519998550415,5.35975646972656,8.08196640014648,3.59538578987122,1.28000009059906,64.2904434204102,1.14290761947632,0,"189296012020004",15,"OAK",0.0462790728746029,0.000493559311326052,0.223411214960614,0.0168144736032536,0.286998320749796
"OAK_BAU",2034,36.5528831481934,21.5565586090088,8.78638458251953,4.05120038986206,3.84018230438232,10.5248880386353,3.728031873703,1.28000009059906,68.7635726928711,0.951145946979523,0,"189296012020004",20,"OAK",0.0272088407038155,0.00108231891781348,0.196387148871629,0.0126471010823795,0.237325409575638
"OAK_BAU",2039,35.4649810791016,21.1036243438721,8.59503078460693,5.25156831741333,3.84751319885254,11.9843034744263,3.9963047504425,1.28000009059906,70.4197006225586,3.42131924629211,0,"189296012020004",25,"OAK",0.208465329563477,0.00289362918906325,0.663579634336119,0.0385842108469356,0.913522803935595
"OAK_GROW",2014,30.589319229126,19.0081405639648,6.85951662063599,0,0,2.59500002861023,3.7703001499176,0.560000002384186,44.3741416931152,0,0,"189296012020004",0,"OAK",0,0,0,0,0
"OAK_GROW",2019,38.3642997741699,24.082691192627,8.4891242980957,0.611957013607025,2.68353700637817,2.07157254219055,3.20553874969482,0.699999988079071,56.1260299682617,0,0,"189296012020004",5,"OAK",0,0,0,0,0
"OAK_GROW",2024,42.297779083252,26.6647453308105,9.66242218017578,1.40452396869659,4.65538024902344,5.44482517242432,3.51743030548096,0.939999997615814,67.92236328125,0,0,"189296012020004",10,"OAK",0,0,0,0,0
"OAK_GROW",2029,42.9505424499512,27.3144874572754,10.1894683837891,2.57872557640076,7.43771457672119,8.20842456817627,3.78885722160339,1.28000009059906,76.4337310791016,0,0,"189296012020004",15,"OAK",0,0,0,0,0
"OAK_GROW",2034,45.725700378418,29.269998550415,11.1152153015137,3.07500267028809,5.82596349716187,11.146993637085,3.94579219818115,1.28000009059906,82.1146697998047,0,0,"189296012020004",20,"OAK",0,0,0,0,0
"OAK_GROW",2039,46.4685401916504,30.1669998168945,11.6874418258667,3.71703815460205,6.70511245727539,12.0117626190186,4.18126583099365,1.28000009059906,86.0511703491211,0,0,"189296012020004",25,"OAK",0,0,0,0,0
