"CaseID","StandID","Year","Age","Tpa","BA","SDI","CCF","TopHt","QMD","MCuFt","SCuFt","SBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","ATBA","ATSDI","ATCCF","ATTopHt","ATQMD","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","Stand_CN"
"368f449f-3deb-4d14-ae12-3cf4eba73429","MBB_GROW",2030,75,1317,113,249,278,89,3.97236728668213,2035,1203,5732,0,0,0,0,113,249,278,89,3.97236728668213,5,89,8,27.1333332061768,801,1,2,"291609162489998"
"368f449f-3deb-4d14-ae12-3cf4eba73429","MBB_GROW",2035,80,1217,132,282,321,92,4.45880794525146,2441,1461,7235,0,0,0,0,132,282,321,92,4.45880794525146,5,89,8,30.5125007629395,801,2,2,"291609162489998"
"368f449f-3deb-4d14-ae12-3cf4eba73429","MBB_GROW",2040,85,1138,151,315,358,94,4.93497848510742,2848,1747,9189,0,0,0,0,151,315,358,94,4.93497848510742,5,82,7,33.5058822631836,801,1,1,"291609162489998"
"368f449f-3deb-4d14-ae12-3cf4eba73429","MBB_GROW",2045,90,1081,165,335,383,96,5.28246212005615,3221,2036,10668,0,0,0,0,165,335,383,96,5.28246212005615,0,0,0,35.7888870239258,801,1,1,"291609162489998"
"9d0b9c9e-7a74-4d4e-97e3-1c2d92621d19","MBB_GROW",2015,69,357,68,130,144,82,5.90719890594482,1556,735,3462,0,0,0,0,68,130,144,82,5.90719890594482,5,53,6,22.550724029541,801,2,3,"291609308489998"
"9d0b9c9e-7a74-4d4e-97e3-1c2d92621d19","MBB_GROW",2020,74,347,77,145,158,82,6.38216781616211,1795,926,4442,0,0,0,0,77,145,158,82,6.38216781616211,5,60,6,24.2567558288574,801,2,2,"291609308489998"
"9d0b9c9e-7a74-4d4e-97e3-1c2d92621d19","MBB_GROW",2025,79,338,88,162,174,82,6.89664459228516,2062,1069,5231,0,0,0,0,88,162,174,82,6.89664459228516,5,81,7,26.1012649536133,801,2,2,"291609308489998"
"9d0b9c9e-7a74-4d4e-97e3-1c2d92621d19","MBB_GROW",2030,84,329,100,183,195,83,7.47914791107178,2429,1219,6205,0,0,0,0,100,183,195,83,7.47914791107178,5,86,9,28.9166660308838,801,1,2,"291609308489998"
"9d0b9c9e-7a74-4d4e-97e3-1c2d92621d19","MBB_GROW",2035,89,320,113,200,211,86,8.04119777679443,2814,1500,7768,0,0,0,0,113,200,211,86,8.04119777679443,5,103,19,31.617977142334,801,1,2,"291609308489998"
"9d0b9c9e-7a74-4d4e-97e3-1c2d92621d19","MBB_GROW",2040,94,303,125,215,224,87,8.70267963409424,3232,1752,9489,0,0,0,0,125,215,224,87,8.70267963409424,5,89,21,34.3829803466797,801,1,2,"291609308489998"
